the_geom,lng,objectid,year,dc_key,code,date_,race,sex,age,wound,officer_involved,the_geom_webmercator,offender_deceased,location,latino,point_x,point_y,dist,time,inside,outside,fatal,lat,offender_injured
0101000020E6100000A387CA54FBCB52C0BB2730191EF64340,-75.18721504,29,2016.0,201601032572,0111,2016-07-30,B,M,23,chest,N,0101000020110F000044C3839FA2ED5FC1F4818B4BF2845241,N,2400 BLOCK S 24TH ST,0,-75.18721504,39.92279354,01,02:43:00,0.0,1.0,1.0,39.92279353,N
0101000020E610000001AB3CE49AC952C0134AFCDDFD044440,-75.15007883,30,2015.0,201535022853,0411,2015-03-23,B,M,32,multi,N,0101000020110F0000D91D8A2099E95FC11FC55AB96E955241,N,5600 BLOCK OGONTZ AVE,0,-75.15007884,40.03899741,35,21:36:00,1.0,0.0,0.0,40.03899741,N
0101000020E61000008AA93630A0CF52C046EF33B254FA4340,-75.24415212,31,2016.0,201618016129,0411,2016-03-12,B,M,44,leg,N,0101000020110F00009733BF2CD3F35FC1FDCF3D0E9D895241,N,6100 BLOCK PINE ST,0,-75.24415212,39.95570972,18,20:37:00,0.0,1.0,0.0,39.95570972,N
,,32,2016.0,201625005325,0411,2016-01-22,B,M,48,arm,N,,N,3000 BLOCK N 08TH ST,0,,,25,16:51:00,0.0,1.0,0.0,,N
0101000020E6100000DD7E541EB8CE52C01654F1D28FFB4340,-75.2299877,33,2016.0,201619084818,0411,2016-09-15,B,M,23,multi,N,0101000020110F000054DC14FB48F25FC186D30E3BFA8A5241,N,5500 BLOCK VINE ST,0,-75.2299877,39.96532666,19,15:35:00,0.0,1.0,0.0,39.96532666,N
0101000020E610000018BD4B90AECD52C0EAE83C53FDF94340,-75.21377952,34,2015.0,201518014258,0411,2015-03-08,B,F,46,multi,N,0101000020110F00005965C1E885F05FC143F0EB403C895241,N,4500 BLOCK SPRUCE ST,0,-75.21377952,39.95304337,18,10:57:00,1.0,0.0,0.0,39.95304337,N
0101000020E6100000EAE83C53BDC752C08D518D4DE1FF4340,-75.12093049,35,2016.0,201625059158,0411,2016-07-14,B,M,18,buttocks,N,0101000020110F0000185DB9EE6DE65FC16DF46B89C38F5241,N,500 BLOCK E WESTMORELAND ST,0,-75.12093049,39.9990632,25,20:33:00,0.0,1.0,0.0,39.9990632,N
0101000020E6100000A946755BDEC952C00AB097BF25084440,-75.15419661,36,2016.0,201614062144,0411,2016-08-04,B,M,25,multi,N,0101000020110F0000E05272B90BEA5FC132170F15EF985241,N,7200 BLOCK FORREST AVE,0,-75.15419661,40.06365199,14,21:43:00,0.0,1.0,0.0,40.06365199,N
0101000020E61000007AB9780DF4C052C074A9196B620C4440,-75.01489579,37,2015.0,201507036376,0111,2015-12-07,W,M,69,head,N,0101000020110F0000A4881400E7DA5FC1A188750DA39D5241,N,10000 BLOCK SANDMEYER LN,0,-75.01489579,40.09675349,07,15:28:00,0.0,1.0,1.0,40.09675349,N
0101000020E61000004AFA28E1D1CA52C0EDA563AD25094440,-75.16906003,38,2015.0,201514031229,0300,2015-04-23,B,M,21,leg,N,0101000020110F000036C8195FA9EB5FC170E0801B0B9A5241,N,VERNON RD / THOURON AV,0,-75.16906003,40.07146232,14,22:15:00,0.0,1.0,0.0,40.07146232,N
